"BSTLR_ID","BSTLR_BSTLID","BSTLR_STATUSID","BSTLR_DISPSTATUS","BSTLR_PRODID","BSTLR_DISPPRODUCT","BSTLR_AANTAL","BSTLR_BEGINNR","BSTLR_EINDNR","BSTLR_VOORRAAD","BSTLR_EXTRANR1","BSTLR_EXTRANR2","BSTLR_EXTRANR3","BSTLR_OPMERKING"
"1","1","135009",,"1",,"0",,,,,,,
"2","2","135002","Bstlr-Ingevoerd","3","Blauw050","5","13385","13389","2611",,,,
"3","3","135002","Bstlr-Ingevoerd","3","Blauw050","1","13390","13390","2610",,,,
"4","3","135002","Bstlr-Ingevoerd","7","Groen125","1","4167","4167","1833",,,,
"5","4","135002","Bstlr-Ingevoerd","3","Blauw050","5","13391","13395","2605",,,,
"6","5","135002","Bstlr-Ingevoerd","3","Blauw050","10","13396","13405","2595",,,,
"7","6","135002","Bstlr-Ingevoerd","3","Blauw050","20","13406","13425","2575",,,,
"8","7","135002","Bstlr-Ingevoerd","6","Oranje075","1","5940","5940","2060",,,,
"9","8","135002","Bstlr-Ingevoerd","6","Oranje075","8","5941","5948","2052",,,,
"10","9","135002","Bstlr-Ingevoerd","6","Oranje075","2","5949","5950","2050",,,,
"11","9","135002","Bstlr-Ingevoerd","7","Groen125","2","4168","4169","1831",,,,
"12","10","135002","Bstlr-Ingevoerd","7","Groen125","1","4170","4170","1830",,,,
"13","10","135002","Bstlr-Ingevoerd","8","Wit250","2","893","894","406",,,,
"14","11","135002","Bstlr-Ingevoerd","7","Groen125","2","4171","4172","1828",,,,
"15","11","135002","Bstlr-Ingevoerd","8","Wit250","2","895","896","404",,,,
"16","12","135002","Bstlr-Ingevoerd","6","Oranje075","2","5951","5952","2048",,,,
"17","13","135002","Bstlr-Ingevoerd","3","Blauw050","5","13426","13430","2570",,,,
"18","14","135002","Bstlr-Ingevoerd","3","Blauw050","1","13431","13431","2569",,,,
"19","14","135002","Bstlr-Ingevoerd","7","Groen125","1","4173","4173","1827",,,,
"20","15","135002","Bstlr-Ingevoerd","2","Geel025","5","2604","2608","1092",,,,
"21","15","135002","Bstlr-Ingevoerd","3","Blauw050","5","13432","13436","2564",,,,
"22","15","135002","Bstlr-Ingevoerd","6","Oranje075","4","5953","5956","2044",,,,
"23","16","135002","Bstlr-Ingevoerd","6","Oranje075","3","5957","5959","2041",,,,
"24","17","135002","Bstlr-Ingevoerd","6","Oranje075","2","5960","5961","2039",,,,
"25","18","135002","Bstlr-Ingevoerd","2","Geel025","2","2609","2610","1090",,,,
"26","18","135002","Bstlr-Ingevoerd","3","Blauw050","2","13437","13438","2562",,,,
"27","19","135002","Bstlr-Ingevoerd","3","Blauw050","4","13439","13442","2558",,,,
"28","20","135002","Bstlr-Ingevoerd","6","Oranje075","2","5962","5963","2037",,,,
"29","20","135002","Bstlr-Ingevoerd","7","Groen125","2","4174","4175","1825",,,,
"30","21","135002","Bstlr-Ingevoerd","3","Blauw050","10","13443","13452","2548",,,,
"31","22","135002","Bstlr-Ingevoerd","6","Oranje075","3","5964","5966","2034",,,,
"32","23","135002","Bstlr-Ingevoerd","2","Geel025","4","2611","2614","1086",,,,
"33","23","135002","Bstlr-Ingevoerd","6","Oranje075","4","5967","5970","2030",,,,
"34","23","135002","Bstlr-Ingevoerd","8","Wit250","1","897","897","403",,,,
"35","24","135002","Bstlr-Ingevoerd","3","Blauw050","5","13453","13457","2543",,,,
"36","25","135002","Bstlr-Ingevoerd","3","Blauw050","2","13458","13459","2541",,,,
"37","25","135002","Bstlr-Ingevoerd","8","Wit250","2","898","899","401",,,,
"38","26","135002","Bstlr-Ingevoerd","2","Geel025","3","2615","2617","1083",,,,
"39","26","135002","Bstlr-Ingevoerd","3","Blauw050","3","13460","13462","2538",,,,
"40","27","135002","Bstlr-Ingevoerd","6","Oranje075","3","5971","5973","2027",,,,
"41","27","135002","Bstlr-Ingevoerd","7","Groen125","1","4176","4176","1824",,,,
"42","28","135002","Bstlr-Ingevoerd","3","Blauw050","2","13463","13464","2536",,,,
"43","28","135002","Bstlr-Ingevoerd","7","Groen125","2","4177","4178","1822",,,,
"44","29","135002","Bstlr-Ingevoerd","3","Blauw050","4","13465","13468","2532",,,,
"45","30","135002","Bstlr-Ingevoerd","3","Blauw050","3","13469","13471","2529",,,,
"46","30","135002","Bstlr-Ingevoerd","6","Oranje075","3","5974","5976","2024",,,,
"47","31","135002","Bstlr-Ingevoerd","3","Blauw050","10","13472","13481","2519",,,,
"48","32","135002","Bstlr-Ingevoerd","6","Oranje075","1","5977","5977","2023",,,,
"49","32","135002","Bstlr-Ingevoerd","7","Groen125","1","4179","4179","1821",,,,
"50","33","135002","Bstlr-Ingevoerd","3","Blauw050","10","13482","13491","2509",,,,
"51","34","135002","Bstlr-Ingevoerd","3","Blauw050","25","13492","13516","2484",,,,
"52","35","135002","Bstlr-Ingevoerd","3","Blauw050","5","13517","13521","2479",,,,
"53","35","135002","Bstlr-Ingevoerd","6","Oranje075","5","5978","5982","2018",,,,
"54","36","135002","Bstlr-Ingevoerd","3","Blauw050","2","13522","13523","2477",,,,
"55","37","135002","Bstlr-Ingevoerd","2","Geel025","4","2436","2439","1261",,,,
"56","37","135002","Bstlr-Ingevoerd","3","Blauw050","4","12230","12233","3767",,,,
"57","38","135002","Bstlr-Ingevoerd","6","Oranje075","3","5309","5311","2689",,,,
"58","39","135002","Bstlr-Ingevoerd","3","Blauw050","3","12234","12236","3764",,,,
"59","39","135002","Bstlr-Ingevoerd","7","Groen125","2","3655","3656","2344",,,,
"60","40","135002","Bstlr-Ingevoerd","3","Blauw050","2","12237","12238","3762",,,,
"61","40","135002","Bstlr-Ingevoerd","7","Groen125","2","3657","3658","2342",,,,
"62","41","135002","Bstlr-Ingevoerd","3","Blauw050","3","12239","12241","3759",,,,
"63","42","135002","Bstlr-Ingevoerd","7","Groen125","2","3659","3660","2340",,,,
"64","42","135002","Bstlr-Ingevoerd","8","Wit250","2","771","772","528",,,,
"65","43","135002","Bstlr-Ingevoerd","6","Oranje075","10","5312","5321","2679",,,,
"66","44","135002","Bstlr-Ingevoerd","6","Oranje075","2","5322","5323","2677",,,,
"67","45","135002","Bstlr-Ingevoerd","3","Blauw050","20","12242","12261","3739",,,,
"68","46","135002","Bstlr-Ingevoerd","3","Blauw050","1","12262","12262","3738",,,,
"69","46","135002","Bstlr-Ingevoerd","6","Oranje075","1","5324","5324","2676",,,,
"70","47","135002","Bstlr-Ingevoerd","3","Blauw050","10","12263","12272","3728",,,,
"71","48","135002","Bstlr-Ingevoerd","3","Blauw050","2","12273","12274","3726",,,,
"72","48","135002","Bstlr-Ingevoerd","6","Oranje075","2","5325","5326","2674",,,,
"73","49","135002","Bstlr-Ingevoerd","7","Groen125","8","3661","3668","2332",,,,
"74","50","135002","Bstlr-Ingevoerd","3","Blauw050","1","12275","12275","3725",,,,
"75","50","135002","Bstlr-Ingevoerd","6","Oranje075","1","5327","5327","2673",,,,
"76","50","135002","Bstlr-Ingevoerd","8","Wit250","1","773","773","527",,,,
"77","51","135002","Bstlr-Ingevoerd","6","Oranje075","4","5328","5331","2669",,,,
"78","52","135002","Bstlr-Ingevoerd","6","Oranje075","4","5332","5335","2665",,,,
"79","53","135002","Bstlr-Ingevoerd","6","Oranje075","1","5336","5336","2664",,,,
"80","53","135002","Bstlr-Ingevoerd","7","Groen125","1","3669","3669","2331",,,,
"81","54","135002","Bstlr-Ingevoerd","3","Blauw050","5","12276","12280","3720",,,,
"82","55","135002","Bstlr-Ingevoerd","3","Blauw050","2","12281","12282","3718",,,,
"83","55","135002","Bstlr-Ingevoerd","6","Oranje075","2","5337","5338","2662",,,,
"84","55","135002","Bstlr-Ingevoerd","7","Groen125","2","3670","3671","2329",,,,
"85","56","135002","Bstlr-Ingevoerd","2","Geel025","5","2440","2444","1256",,,,
"86","56","135002","Bstlr-Ingevoerd","3","Blauw050","5","12283","12287","3713",,,,
"87","57","135002","Bstlr-Ingevoerd","3","Blauw050","5","12288","12292","3708",,,,
"88","58","135002","Bstlr-Ingevoerd","3","Blauw050","2","12293","12294","3706",,,,
"89","58","135002","Bstlr-Ingevoerd","6","Oranje075","4","5339","5342","2658",,,,
"90","59","135002","Bstlr-Ingevoerd","6","Oranje075","2","5343","5344","2656",,,,
"91","59","135002","Bstlr-Ingevoerd","7","Groen125","2","3672","3673","2327",,,,
"92","60","135002","Bstlr-Ingevoerd","3","Blauw050","3","12295","12297","3703",,,,
"93","61","135002","Bstlr-Ingevoerd","6","Oranje075","20","5345","5364","2636",,,,
"94","62","135002","Bstlr-Ingevoerd","3","Blauw050","5","12298","12302","3698",,,,
"95","63","135002","Bstlr-Ingevoerd","3","Blauw050","2","12303","12304","3696",,,,
"96","63","135002","Bstlr-Ingevoerd","6","Oranje075","2","5365","5366","2634",,,,
"97","64","135002","Bstlr-Ingevoerd","3","Blauw050","1","12305","12305","3695",,,,
"98","64","135002","Bstlr-Ingevoerd","7","Groen125","1","3674","3674","2326",,,,
"99","65","135002","Bstlr-Ingevoerd","3","Blauw050","2","12306","12307","3693",,,,
"100","66","135002","Bstlr-Ingevoerd","6","Oranje075","1","5367","5367","2633",,,,
"101","67","135002","Bstlr-Ingevoerd","3","Blauw050","2","12308","12309","3691",,,,
"102","67","135002","Bstlr-Ingevoerd","6","Oranje075","2","5368","5369","2631",,,,
"103","68","135002","Bstlr-Ingevoerd","3","Blauw050","5","12310","12314","3686",,,,
"104","68","135002","Bstlr-Ingevoerd","7","Groen125","5","3675","3679","2321",,,,
"105","69","135002","Bstlr-Ingevoerd","6","Oranje075","1","5370","5370","2630",,,,
"106","69","135002","Bstlr-Ingevoerd","7","Groen125","1","3680","3680","2320",,,,
"107","70","135002","Bstlr-Ingevoerd","3","Blauw050","5","12315","12319","3681",,,,
"108","70","135002","Bstlr-Ingevoerd","8","Wit250","2","774","775","525",,,,
"109","71","135002","Bstlr-Ingevoerd","6","Oranje075","2","5371","5372","2628",,,,
"110","72","135002","Bstlr-Ingevoerd","3","Blauw050","2","12954","12955","3045",,,,
"111","72","135002","Bstlr-Ingevoerd","8","Wit250","2","858","859","441",,,,
"112","73","135002","Bstlr-Ingevoerd","6","Oranje075","3","5718","5720","2280",,,,
"113","73","135002","Bstlr-Ingevoerd","7","Groen125","1","3965","3965","2035",,,,
"114","74","135002","Bstlr-Ingevoerd","2","Geel025","4","2544","2547","1153",,,,
"115","74","135002","Bstlr-Ingevoerd","3","Blauw050","4","12956","12959","3041",,,,
"116","74","135002","Bstlr-Ingevoerd","6","Oranje075","4","5721","5724","2276",,,,
"117","75","135002","Bstlr-Ingevoerd","3","Blauw050","3","12960","12962","3038",,,,
"118","75","135002","Bstlr-Ingevoerd","7","Groen125","3","3966","3968","2032",,,,
"119","76","135002","Bstlr-Ingevoerd","3","Blauw050","4","12963","12966","3034",,,,
"120","76","135002","Bstlr-Ingevoerd","7","Groen125","2","3969","3970","2030",,,,
"121","77","135002","Bstlr-Ingevoerd","6","Oranje075","2","5725","5726","2274",,,,
"122","77","135002","Bstlr-Ingevoerd","7","Groen125","6","3971","3976","2024",,,,
"123","78","135002","Bstlr-Ingevoerd","3","Blauw050","5","12967","12971","3029",,,,
"124","79","135002","Bstlr-Ingevoerd","3","Blauw050","2","12972","12973","3027",,,,
"125","79","135002","Bstlr-Ingevoerd","6","Oranje075","2","5727","5728","2272",,,,
"126","80","135002","Bstlr-Ingevoerd","7","Groen125","1","3977","3977","2023",,,,
"127","80","135002","Bstlr-Ingevoerd","8","Wit250","1","860","860","440",,,,
"128","81","135002","Bstlr-Ingevoerd","3","Blauw050","5","12974","12978","3022",,,,
"129","81","135002","Bstlr-Ingevoerd","6","Oranje075","5","5729","5733","2267",,,,
"130","81","135002","Bstlr-Ingevoerd","7","Groen125","5","3978","3982","2018",,,,
"131","82","135002","Bstlr-Ingevoerd","8","Wit250","3","861","863","437",,,,
"132","83","135002","Bstlr-Ingevoerd","3","Blauw050","5","12979","12983","3017",,,,
"133","84","135002","Bstlr-Ingevoerd","6","Oranje075","10","5734","5743","2257",,,,
"134","85","135002","Bstlr-Ingevoerd","7","Groen125","3","3983","3985","2015",,,,
"135","86","135002","Bstlr-Ingevoerd","3","Blauw050","1","12984","12984","3016",,,,
"136","86","135002","Bstlr-Ingevoerd","7","Groen125","1","3986","3986","2014",,,,
"137","87","135002","Bstlr-Ingevoerd","3","Blauw050","2","12985","12986","3014",,,,
"138","88","135002","Bstlr-Ingevoerd","8","Wit250","3","864","866","434",,,,
"139","89","135002","Bstlr-Ingevoerd","3","Blauw050","5","12987","12991","3009",,,,
"140","90","135002","Bstlr-Ingevoerd","6","Oranje075","1","5744","5744","2256",,,,
"141","91","135002","Bstlr-Ingevoerd","6","Oranje075","1","5745","5745","2255",,,,
"142","91","135002","Bstlr-Ingevoerd","7","Groen125","1","3987","3987","2013",,,,
"143","92","135002","Bstlr-Ingevoerd","6","Oranje075","2","5746","5747","2253",,,,
"144","92","135002","Bstlr-Ingevoerd","7","Groen125","2","3988","3989","2011",,,,
