"UGV_ID","UGV_STATUSID","UGV_DISPSTATUS","UGV_KLBGID","UGV_DISPKLBG","UGV_HUSID","UGV_DISPHUS","UGV_SUSID","UGV_DISPSUS","UGV_KASBEWIJSNR","UGV_DATUM","UGV_BEDRAG","UGV_OPMERKING"
"1101","140009","Uitgave-record is leeg / Tabelinitrecord","1","Klant-Begunstigde","1",,"1",,"0","1900-01-01 00:00:00.0",,
"1102","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","  162-1204","2008-12-23 00:00:00.0","340.25",
"1103","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","  163-1205","2008-12-23 00:00:00.0","167.00",
"1104","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","  164-1206","2008-12-23 00:00:00.0","412.50",
"1105","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","  165-1207","2008-12-30 00:00:00.0","1648.25",
"1106","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","  166-1208","2008-12-30 00:00:00.0","662.25",
"1107","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","    1-1209","2009-01-06 00:00:00.0","130.75",
"1108","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","    2-1210","2009-01-06 00:00:00.0","237.25",
"1109","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","    3-1211","2009-01-06 00:00:00.0","1599.25",
"1110","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","    4-1212","2009-01-06 00:00:00.0","269.25",
"1111","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","    5-1213","2009-01-06 00:00:00.0","99.25",
"1112","140002","Ugv-Ingevoerd","682","Kosten collectenrekening","3","Uitgave t.b.v. administratie","15","Bankkosten - RABO","    6-1214","2009-01-07 00:00:00.0","31.02",
"1113","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","    7-1215","2009-01-14 00:00:00.0","186.00",
"1114","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","    8-1216","2009-01-14 00:00:00.0","690.00",
"1115","140002","Ugv-Ingevoerd","674","Kosten ING","3","Uitgave t.b.v. administratie","14","Bankkosten - ING","    9-1217","2009-01-16 00:00:00.0","63.73",
"1116","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   10-1218","2009-01-21 00:00:00.0","883.25",
"1117","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   11-1219","2009-01-21 00:00:00.0","191.50",
"1118","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   12-1220","2009-01-27 00:00:00.0","307.00",
"1119","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   13-1221","2009-01-27 00:00:00.0","203.75",
"1120","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   14-1222","2009-01-27 00:00:00.0","474.25",
"1121","140002","Ugv-Ingevoerd","678","Surplus","2","Algemene uitgaven","16","Boekhoudkundige inkomsten/uitgaven","   15-1223","2009-01-27 00:00:00.0","1500.00",
"1122","140002","Ugv-Ingevoerd","677","Postzegels","4","Verwerkingskosten","9","Postzegels","   16-1224","2009-01-30 00:00:00.0","176.00",
"1123","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   17-1225","2009-02-03 00:00:00.0","1322.75",
"1124","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   18-1226","2009-02-03 00:00:00.0","172.25",
"1125","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   19-1227","2009-02-12 00:00:00.0","236.25",
"1126","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   20-1228","2009-02-12 00:00:00.0","629.75",
"1127","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   21-1229","2009-02-18 00:00:00.0","153.00",
"1128","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   22-1230","2009-02-18 00:00:00.0","699.75",
"1129","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   23-1231","2009-02-18 00:00:00.0","220.25",
"1130","140002","Ugv-Ingevoerd","680","Zendingscomm. CGK","1","Collecte-afdrachten","1","Collecte-doel, niet nader omschreven","   24-1232","2009-02-21 00:00:00.0","132.50",
"1131","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   25-1233","2009-02-24 00:00:00.0","595.50",
"1132","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   26-1234","2009-02-24 00:00:00.0","147.25",
"1133","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   27-1235","2009-02-24 00:00:00.0","476.50",
"1134","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   28-1236","2009-03-04 00:00:00.0","1992.50",
"1135","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   29-1237","2009-03-04 00:00:00.0","196.75",
"1136","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   30-1238","2009-03-11 00:00:00.0","699.50",
"1137","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   31-1239","2009-03-11 00:00:00.0","200.00",
"1138","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   32-1240","2009-03-11 00:00:00.0","129.00",
"1139","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   33-1241","2009-03-19 00:00:00.0","222.25",
"1140","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   34-1242","2009-03-19 00:00:00.0","173.25",
"1141","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   35-1243","2009-03-19 00:00:00.0","782.50",
"1142","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   36-1244","2009-03-24 00:00:00.0","856.00",
"1143","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   37-1245","2009-03-24 00:00:00.0","222.25",
"1144","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   38-1246","2009-04-01 00:00:00.0","381.25",
"1145","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   39-1247","2009-04-01 00:00:00.0","220.75",
"1146","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   40-1248","2009-04-01 00:00:00.0","629.50",
"1147","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   41-1249","2009-04-08 00:00:00.0","922.75",
"1148","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   42-1250","2009-04-08 00:00:00.0","217.00",
"1149","140002","Ugv-Ingevoerd","682","Kosten collectenrekening","3","Uitgave t.b.v. administratie","15","Bankkosten - RABO","   43-1251","2009-04-08 00:00:00.0","26.22",
"1150","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   44-1252","2009-04-15 00:00:00.0","511.75",
"1151","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   45-1253","2009-04-15 00:00:00.0","182.25",
"1152","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   46-1254","2009-04-15 00:00:00.0","893.75",
"1153","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   47-1255","2009-04-21 00:00:00.0","739.50",
"1154","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   48-1256","2009-04-21 00:00:00.0","249.50",
"1155","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   49-1257","2009-04-21 00:00:00.0","1.50",
"1156","140002","Ugv-Ingevoerd","674","Kosten ING","3","Uitgave t.b.v. administratie","14","Bankkosten - ING","   50-1258","2009-04-28 00:00:00.0","62.50",
"1157","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   51-1259","2009-04-28 00:00:00.0","83.00",
"1158","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   52-1260","2009-04-28 00:00:00.0","162.50",
"1159","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   53-1261","2009-04-28 00:00:00.0","582.75",
"1160","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   54-1262","2009-05-07 00:00:00.0","1899.75",
"1161","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   55-1263","2009-05-07 00:00:00.0","183.25",
"1162","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   56-1264","2009-05-18 00:00:00.0","215.75",
"1163","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   57-1265","2009-05-18 00:00:00.0","205.25",
"1164","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   58-1266","2009-05-18 00:00:00.0","637.50",
"1165","140002","Ugv-Ingevoerd","678","Surplus","2","Algemene uitgaven","16","Boekhoudkundige inkomsten/uitgaven","   59-1267","2009-05-18 00:00:00.0","-2000.00",
"1166","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   60-1268","2009-05-20 00:00:00.0","525.75",
"1167","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   61-1269","2009-05-20 00:00:00.0","187.50",
"1168","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   62-1270","2009-05-20 00:00:00.0","66.75",
"1169","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   63-1271","2009-05-26 00:00:00.0","145.25",
"1170","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   64-1272","2009-05-26 00:00:00.0","698.75",
"1171","140002","Ugv-Ingevoerd","679","Verjaardagsfonds","1","Collecte-afdrachten","1","Collecte-doel, niet nader omschreven","   65-1273","2009-05-29 00:00:00.0","293.25",
"1172","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   66-1274","2009-06-02 00:00:00.0","713.50",
"1173","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   67-1275","2009-06-02 00:00:00.0","150.25",
"1174","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   68-1276","2009-06-10 00:00:00.0","59.25",
"1175","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   69-1277","2009-06-10 00:00:00.0","222.00",
"1176","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   70-1278","2009-06-10 00:00:00.0","661.00",
"1177","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   71-1279","2009-06-16 00:00:00.0","1003.25",
"1178","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   72-1280","2009-06-16 00:00:00.0","169.50",
"1179","140002","Ugv-Ingevoerd","677","Postzegels","4","Verwerkingskosten","9","Postzegels","   73-1281","2009-06-16 00:00:00.0","264.00",
"1180","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   74-1282","2009-06-23 00:00:00.0","144.25",
"1181","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   75-1283","2009-06-23 00:00:00.0","621.50",
"1182","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   76-1284","2009-07-01 00:00:00.0","708.50",
"1183","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   77-1285","2009-07-01 00:00:00.0","176.25",
"1184","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   78-1286","2009-07-08 00:00:00.0","1389.50",
"1185","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   79-1287","2009-07-08 00:00:00.0","63.50",
"1186","140002","Ugv-Ingevoerd","682","Kosten collectenrekening","3","Uitgave t.b.v. administratie","15","Bankkosten - RABO","   80-1288","2009-07-08 00:00:00.0","25.35",
"1187","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   81-1289","2009-07-14 00:00:00.0","357.75",
"1188","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   82-1290","2009-07-14 00:00:00.0","72.50",
"1189","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   83-1291","2009-07-21 00:00:00.0","316.00",
"1190","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   84-1292","2009-07-21 00:00:00.0","47.75",
"1191","140002","Ugv-Ingevoerd","674","Kosten ING","3","Uitgave t.b.v. administratie","14","Bankkosten - ING","   85-1293","2009-07-30 00:00:00.0","61.10",
"1192","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   86-1294","2009-07-30 00:00:00.0","264.00",
"1193","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   87-1295","2009-07-30 00:00:00.0","48.75",
"1194","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   88-1296","2009-08-04 00:00:00.0","367.75",
"1195","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   89-1297","2009-08-04 00:00:00.0","61.00",
"1196","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   90-1298","2009-08-11 00:00:00.0","388.00",
"1197","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   91-1299","2009-08-11 00:00:00.0","69.00",
"1198","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   92-1300","2009-08-19 00:00:00.0","209.00",
"1199","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   93-1301","2009-08-19 00:00:00.0","139.25",
"1200","140002","Ugv-Ingevoerd","672","Kerk","1","Collecte-afdrachten","3","Collecte-doel: Kerk","   94-1302","2009-08-19 00:00:00.0","375.25",
"1201","140002","Ugv-Ingevoerd","681","Ned. Geref. Kerk I","1","Collecte-afdrachten","1","Collecte-doel, niet nader omschreven","   95-1303","2009-08-24 00:00:00.0","1958.75",
"1202","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   96-1304","2009-08-26 00:00:00.0","902.25",
"1203","140002","Ugv-Ingevoerd","662","Bouwfonds","1","Collecte-afdrachten","4","Collecte-doel: Bouwfonds","   97-1305","2009-08-26 00:00:00.0","158.75",
"1204","140002","Ugv-Ingevoerd","665","Diaconie","1","Collecte-afdrachten","2","Collecte-doel: Diaconie","   98-1306","2009-09-22 00:00:00.0","648.75",
